Rank,CCA3,Country/Territory,Capital,Continent,2026 Population,2025 Population,2024 Population,2023 Population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
1,IND,India,New Delhi,Asia,1459678108,1448933827,1438268632,1427681939,1417173173,1396387127,1322866505,1240613620,1059633675,873277798,698952844,555189792,3287590,444.0,1.0074,19.37
2,CHN,China,Beijing,Asia,1455928518,1448359401,1440829635,1433339015,1425887337,1411100000,1379860000,1337705000,1264099000,1153704000,981235000,822534000,9706961,149.99,1.0052,19.32
3,USA,United States,Washington D.C.,North America,343034906,341842440,340654120,339469930,338289857,335942003,321773631,311182845,282162411,252120309,227224681,209513341,9372610,36.6,1.0035,4.55
4,IDN,Indonesia,Jakarta,Asia,282935214,281058148,279193535,277341293,275501339,271857970,258383256,244016173,214072421,181413402,148177096,115228394,1904569,148.56,1.0067,3.75
5,PAK,Pakistan,Islamabad,Asia,244925561,242617979,240332138,238067833,235824862,231402117,213292078,194454498,154369924,111845200,80624057,58142060,881912,277.72,1.0095,3.25
6,NGA,Nigeria,Abuja,Africa,229195363,226484094,223804898,221157396,218541212,213401323,187951689,163770669,122284605,95214257,73989509,55980220,923768,248.11,1.012,3.04
7,BRA,Brazil,Brasília,South America,219611171,218528777,217451717,216379966,215313498,213196304,204471759,196353492,175873720,149003225,122288383,96369875,8515767,25.79,1.005,2.91
8,BGD,Bangladesh,Dhaka,Asia,178973180,176993885,175036480,173100722,171186372,167420951,157203396,148391139,131280826,105256000,80624238,67541861,147570,1212.8,1.0112,2.37
9,RUS,Russia,Moscow,Europe,142922086,143367804,143814911,144263413,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,17098242,8.36,0.9969,1.9
10,ETH,Ethiopia,Addis Ababa,Africa,135170227,132121016,129140591,126227399,123379924,117876227,102471895,90352238,66443603,47881688,35198403,28415077,1104300,122.4,1.0231,1.79
11,MEX,Mexico,Mexico City,North America,130537396,129772380,129011846,128255770,127504125,126014024,121858258,117886404,103873697,86077552,68347479,50596635,1964375,66.45,1.0059,1.73
12,EGY,Egypt,Cairo,Africa,125785697,121911453,118156538,114517275,110990103,104258327,97042381,88072938,71371371,58326925,44462273,35133378,1002450,125.48,1.0318,1.67
13,PHL,Philippines,Manila,Asia,125140668,122673231,120254445,117883351,115559009,111046910,102113212,94013200,78706470,61895000,48317000,37540419,342353,365.53,1.0201,1.66
14,JPN,Japan,Tokyo,Asia,121404086,122036036,122671276,123309822,123951692,125245473,127141000,128057352,126843000,123611000,116807000,104345000,377930,321.23,0.9948,1.61
15,COD,DR Congo,Kinshasa,Africa,112574731,109018621,105574845,102239854,99010212,92853767,78202099,66203293,47986874,37060557,28160542,21988260,2344858,48.01,1.0326,1.49
